#,Cluster,Palavra-chave,Volume/mês (est.),Buscas/dia (est.),Intenção,Concorrência,Confiança,Prioridade brpdf (1-5),Página sugerida
1,A. Head PDF genérico,comprimir pdf,246000,8200,Transacional,Alta,Alta,2,/comprimir-pdf/
2,A. Head PDF genérico,compactar pdf,40500,1350,Transacional,Alta,Alta,3,/comprimir-pdf/
3,A. Head PDF genérico,comprimir pdf online,33100,1103,Transacional,Alta,Alta,2,/comprimir-pdf/
4,A. Head PDF genérico,reduzir tamanho de pdf,27100,903,Transacional,Alta,Alta,2,/comprimir-pdf/
5,A. Head PDF genérico,diminuir tamanho de pdf,14800,493,Transacional,Alta,Média,3,/comprimir-pdf/
6,A. Head PDF genérico,comprimir pdf grátis,12100,403,Transacional,Alta,Média,3,/comprimir-pdf/
7,A. Head PDF genérico,comprimir arquivo pdf,9900,330,Transacional,Alta,Média,3,/comprimir-pdf/
8,A. Head PDF genérico,reduzir pdf online,8100,270,Transacional,Alta,Média,3,/comprimir-pdf/
9,A. Head PDF genérico,compactar arquivo pdf,5400,180,Transacional,Alta,Média,3,/comprimir-pdf/
10,A. Head PDF genérico,deixar pdf mais leve,2400,80,Transacional,Média,Média,4,/comprimir-pdf/
11,A. Head PDF genérico,juntar pdf,110000,3667,Transacional,Alta,Alta,2,/juntar-pdf/
12,A. Head PDF genérico,unir pdf,22200,740,Transacional,Alta,Alta,2,/juntar-pdf/
13,A. Head PDF genérico,juntar pdf online,18100,603,Transacional,Alta,Média,2,/juntar-pdf/
14,A. Head PDF genérico,mesclar pdf,8100,270,Transacional,Alta,Média,3,/juntar-pdf/
15,A. Head PDF genérico,dividir pdf,40500,1350,Transacional,Alta,Alta,3,/dividir-pdf/
16,A. Head PDF genérico,separar pdf,14800,493,Transacional,Alta,Média,3,/dividir-pdf/
17,A. Head PDF genérico,dividir pdf online,9900,330,Transacional,Alta,Média,3,/dividir-pdf/
18,A. Head PDF genérico,separar páginas de pdf,6600,220,Transacional,Média,Média,4,/dividir-pdf/
19,A. Head PDF genérico,extrair páginas de pdf,3600,120,Transacional,Média,Média,4,/dividir-pdf/
20,A. Head PDF genérico,excluir página de pdf,12100,403,Transacional,Média,Média,4,Nova: organizar páginas
21,A. Head PDF genérico,organizar páginas pdf,1900,63,Transacional,Média,Média,4,Nova: organizar páginas
22,A. Head PDF genérico,girar pdf,8100,270,Transacional,Média,Média,3,Nova: organizar páginas
23,A. Head PDF genérico,numerar páginas pdf,2900,97,Transacional,Média,Baixa,4,Nova: numerar páginas
24,A. Head PDF genérico,editar pdf,135000,4500,Transacional,Alta,Alta,1,Fora do escopo atual
25,A. Head PDF genérico,converter pdf,60500,2017,Transacional,Alta,Média,2,Fora do escopo atual
26,A. Head PDF genérico,pdf para word,450000,15000,Transacional,Alta,Alta,1,Fora do escopo atual
27,A. Head PDF genérico,word para pdf,90000,3000,Transacional,Alta,Alta,1,Fora do escopo atual
28,A. Head PDF genérico,pdf para jpg,74000,2467,Transacional,Alta,Alta,1,Fora do escopo atual
29,A. Head PDF genérico,jpg para pdf,60500,2017,Transacional,Alta,Alta,2,Nova: imagem em PDF
30,A. Head PDF genérico,assinar pdf,40500,1350,Transacional,Alta,Alta,2,/guias/ assinatura
31,A. Head PDF genérico,remover senha de pdf,12100,403,Transacional,Alta,Média,2,Fora do escopo atual
32,A. Head PDF genérico,proteger pdf com senha,6600,220,Transacional,Alta,Média,2,Fora do escopo atual
33,B. Tamanho-alvo,comprimir pdf sem perder qualidade,5400,180,Transacional,Média,Média,5,/comprimir-pdf/
34,B. Tamanho-alvo,comprimir pdf para 1mb,3600,120,Transacional,Média,Média,5,LP: alvo 1 MB
35,B. Tamanho-alvo,comprimir pdf para 2mb,2400,80,Transacional,Média,Média,5,LP: alvo 2 MB
36,B. Tamanho-alvo,comprimir pdf para 500kb,1900,63,Transacional,Média,Média,5,LP: alvo 500 KB
37,B. Tamanho-alvo,comprimir pdf para 300kb,880,29,Transacional,Baixa,Média,5,LP: alvo 300 KB
38,B. Tamanho-alvo,comprimir pdf para 100kb,720,24,Transacional,Baixa,Média,4,LP: alvo 100 KB
39,B. Tamanho-alvo,comprimir pdf para 5mb,720,24,Transacional,Baixa,Média,5,LP: alvo 5 MB
40,B. Tamanho-alvo,comprimir pdf para 10mb,480,16,Transacional,Baixa,Média,5,LP: alvo 10 MB
41,B. Tamanho-alvo,reduzir pdf para 1 mega,590,20,Transacional,Baixa,Baixa,5,LP: alvo 1 MB
42,B. Tamanho-alvo,comprimir pdf escaneado,480,16,Transacional,Baixa,Média,5,/guias/ compactar
43,B. Tamanho-alvo,reduzir tamanho de pdf digitalizado,590,20,Transacional,Baixa,Média,5,/guias/ compactar
44,B. Tamanho-alvo,pdf muito grande como reduzir,390,13,Informacional,Baixa,Baixa,5,/guias/ compactar
45,B. Tamanho-alvo,comprimir pdf para anexar em email,320,11,Transacional,Baixa,Baixa,4,/guias/ compactar
46,B. Tamanho-alvo,comprimir pdf sem perder o texto pesquisável,110,4,Informacional,Baixa,Baixa,5,/metodologia/
47,B. Tamanho-alvo,comprimir pdf no navegador sem enviar arquivo,90,3,Transacional,Baixa,Baixa,5,/privacidade/
48,C. Peticionamento e sistemas,pje,201000,6700,Navegacional,Alta,Alta,1,Não perseguir
49,C. Peticionamento e sistemas,e-saj,165000,5500,Navegacional,Alta,Alta,1,Não perseguir
50,C. Peticionamento e sistemas,eproc,74000,2467,Navegacional,Alta,Alta,1,Não perseguir
51,C. Peticionamento e sistemas,projudi,60500,2017,Navegacional,Alta,Alta,1,Não perseguir
52,C. Peticionamento e sistemas,peticionamento eletrônico,8100,270,Informacional,Média,Média,4,/sistemas/
53,C. Peticionamento e sistemas,como protocolar petição eletrônica,880,29,Informacional,Média,Média,5,/guias/
54,C. Peticionamento e sistemas,como protocolar no pje passo a passo,1600,53,Informacional,Média,Média,5,/guias/
55,C. Peticionamento e sistemas,como anexar documentos no pje,1300,43,Informacional,Média,Média,5,/guias/
56,C. Peticionamento e sistemas,pje tamanho máximo de arquivo,590,20,Informacional,Baixa,Média,5,/tribunais/
57,C. Peticionamento e sistemas,limite de tamanho de arquivo no pje,320,11,Informacional,Baixa,Média,5,/tribunais/
58,C. Peticionamento e sistemas,como reduzir pdf para o pje,260,9,Transacional,Baixa,Média,5,/comprimir-pdf/
59,C. Peticionamento e sistemas,pje limite 3mb,110,4,Informacional,Baixa,Baixa,5,/tribunais/
60,C. Peticionamento e sistemas,pje tipo de arquivo aceito,210,7,Informacional,Baixa,Baixa,5,/sistemas/
61,C. Peticionamento e sistemas,pje aceita pdf/a,110,4,Informacional,Baixa,Baixa,5,/guias/ pdf-a
